name,scientific_name,ott_id,node_id,image_url,comments
carrot,Daucus carota,372836,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/728/26800728.jpg,
tomato,Solanum lycopersicum,378964,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/506/26923506.jpg,
corn,Zea mays,605194,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/580/32354580.jpg,
grass,Poa pratensis,1079463,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/538/5818538.jpg,
cactus,Carnegiea gigantea,897402,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/173/32541173.jpg,
pine tree,Pinus sylvestris,568619,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/900/27739900.jpg,
mushroom,Agaricus bisporus,564405,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/214/27740214.jpg,
swan,Cygnus olor,140314,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/297/25805297.jpg,
tuna,Thunnus albacares,833188,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/679/20838679.jpg,
salmon,Salmo salar,688328,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/304/31421304.jpg,
killer whale,Orcinus orca,124215,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/368/27795368.jpg,
shrimp,Litopenaeus vannamei,169168,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/605/31799605.jpg,
coral,Acropora cervicornis,507951,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/740/26821740.jpg,
pigeon,Columba livia,938416,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/837/34214837.jpg,
donkey,Equus africanus asinus,519153,,http://commons.wikimedia.org/wiki/Special:FilePath/Donkey%20in%20Clovelly%2C%20North%20Devon%2C%20England.jpg,
aardvark,Orycteropus afer,561087,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/713/27322713.jpg,
giant anteater,Myrmecophaga tridactyla,490538,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/796/26879796.jpg,
echidna,Tachyglossus aculeatus,16038,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/190/26789190.jpg,
tapir,Tapirus terrestris,1034223,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/191/32450191.jpg,
bison,Bison bison,907693,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/781/26852781.jpg,
red panda,Ailurus fulgens,872562,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/3/974/24158974.jpg,
weasel,Mustela nivalis,354525,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/964/27768964.jpg,
badger,Meles meles,923113,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/158/32156158.jpg,
opossum,Didelphis virginiana,919171,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/200/13153200.jpg,
capybara,Hydrochoerus hydrochaeris,744018,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/379/27770379.jpg,
ostrich,Struthio camelus,647692,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/3/602/6687602.jpg,
kiwi,Apteryx mantelli,748998,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/504/26829504.jpg,
pelican,Pelecanus onocrotalus,427899,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/934/27710934.jpg,
heron,Ardea cinerea,119222,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/346/24897346.jpg,
hummingbird,Archilochus colubris,759410,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/430/27814430.jpg,
woodpecker,Dendrocopos major,348848,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/338/5830338.jpg,
toucan,Ramphastos toco,640527,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/631/33160631.jpg,
albatross,Diomedea exulans,71459,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/225/26890225.jpg,
vulture,Gyps fulvus,549517,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/675/26222675.jpg,
kingfisher,Alcedo atthis,549519,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/186/26797186.jpg,
salamander,Salamandra salamandra,689975,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/767/26796767.jpg,
axolotl,Ambystoma mexicanum,984726,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/127/31918127.jpg,
newt,Triturus cristatus,1041796,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/800/26854800.jpg,
komodo dragon,Varanus komodoensis,1091028,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/642/26916642.jpg,
tuatara,Sphenodon punctatus,35890,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/822/26796822.jpg,
cobra,Naja naja,217478,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/259/27769259.jpg,
manta ray,Mobula birostris,920351,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/737/26792737.jpg,
coelacanth,Latimeria chalumnae,773491,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/823/25629823.jpg,
lungfish,Protopterus annectens,199334,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/705/27699705.jpg,
sea anemone,Actinia equina,1084476,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/818/31920818.jpg,
sea urchin,Strongylocentrotus purpuratus,564702,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/353/32391353.jpg,
sea cucumber,Holothuria atra,920160,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/001/27789001.jpg,
sponge,Spongia officinalis,373931,,http://commons.wikimedia.org/wiki/Special:FilePath/Spongia%20officinalis.jpg,
clam,Mercenaria mercenaria,80121,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/219/19679219.jpg,
oyster,Crassostrea gigas,987409,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/841/19678841.jpg,
mussel,Mytilus edulis,499751,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/801/19678801.jpg,
nautilus,Nautilus pompilius,616359,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/671/27779671.jpg,
cuttlefish,Sepia officinalis,528817,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/862/27070862.jpg,
horseshoe crab,Limulus polyphemus,511973,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/378/31335378.jpg,
scorpion,Pandinus imperator,990944,,http://commons.wikimedia.org/wiki/Special:FilePath/Emperor%20scorpion%20or%20Imperial%20scorpion%20%28Pandinus%20imperator%29.jpg,
centipede,Scolopendra gigantea,3518397,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/810/31474810.jpg,
millipede,Archispirostreptus gigas,81620,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/554/27715554.jpg,
termite,Macrotermes bellicosus,213031,,http://commons.wikimedia.org/wiki/Special:FilePath/Macrotermes%20bellicosus%20minor%20soldier.jpg,
praying mantis,Mantis religiosa,656298,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/026/25364026.jpg,
stag beetle,Lucanus cervus,867953,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/765/29212765.jpg,
moth,Actias luna,180968,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/715/34040715.jpg,
tick,Ixodes ricinus,493144,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/625/32368625.jpg,
barnacle,Balanus balanus,323642,,http://commons.wikimedia.org/wiki/Special:FilePath/Balanus%20balanus%20%28YPM%20IZ%20030315%29.jpeg,
orange,Citrus sinensis,3942433,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/812/25584812.jpg,
grape,Vitis vinifera,756728,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/656/26783656.jpg,
cherry,Prunus avium,162547,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/307/5818307.jpg,
peach,Prunus persica,259054,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/544/25590544.jpg,
pear,Pyrus communis,972654,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/733/26780733.jpg,
lemon,Citrus limon,3942422,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/377/32354377.jpg,
pineapple,Ananas comosus,627039,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/470/1993470.jpg,
coconut palm,Cocos nucifera,366250,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/920/32354920.jpg,
mango,Mangifera indica,807634,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/128/26843128.jpg,
raspberry,Rubus idaeus,156929,,http://commons.wikimedia.org/wiki/Special:FilePath/20130714Rubus%20idaeus2.jpg,
avocado,Persea americana,913249,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/683/29256683.jpg,
plum,Prunus domestica,731554,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/183/2447183.jpg,
potato,Solanum tuberosum,494835,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/155/2444155.jpg,
broccoli,Brassica oleracea,833642,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/501/26826501.jpg,
lettuce,Lactuca sativa,515700,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/074/1992074.jpg,
onion,Allium cepa,781600,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/643/1993643.jpg,
pea,Pisum sativum,359905,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/229/32382229.jpg,
cucumber,Cucumis sativus,1006246,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/299/2445299.jpg,
celery,Apium graveolens,2472,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/323/27319323.jpg,
spinach,Spinacia oleracea,317784,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/419/31348419.jpg,
sweet potato,Ipomoea batatas,1071040,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/379/24989379.jpg,
garlic,Allium sativum,748370,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/625/1993625.jpg,
bell pepper,Capsicum annuum,473836,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/193/26790193.jpg,
green bean,Phaseolus vulgaris,825707,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/931/2447931.jpg,
tulip,Tulipa,878709,mrcaott19156ott48915,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/005/31656005.jpg,Tulip (Tulipa) is not monophyletic in the synthetic tree. Placed at Mesangiospermae instead.
daisy,Bellis perennis,792843,,http://commons.wikimedia.org/wiki/Special:FilePath/Belis%20peremnis%20-%20panoramio.jpg,
dandelion,Taraxacum officinale,451182,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/784/26789784.jpg,
daffodil,Narcissus,592259,mrcaott14066ott52001,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/760/31330760.jpg,Daffodil (Narcissus) is not monophyletic in the synthetic tree. Placed at Amaryllidoideae instead.
lily,Lilium,748393,mrcaott19147ott27372,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/737/26789737.jpg,Lily (Lilium) is not monophyletic in the synthetic tree. Placed at Mesangiospermae instead.
orchid,Orchidaceae,568878,ott5298374,http://commons.wikimedia.org/wiki/Special:FilePath/PhalaenopsisOphrysPaphiopedilumMaxillaria.jpg,Orchid (Orchidaceae) is not monophyletic in the synthetic tree. Placed at Mesangiospermae (ott5298374) instead.
marigold,Tagetes,717598,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/468/25478468.jpg,
lavender,Lavandula,839065,ott5263556,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/943/27718943.jpg,Lavender (Lavandula) is not monophyletic in the synthetic tree. Placed at Core Lamiales (ott5263556) instead.
violet,Viola odorata,1039231,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/250/2446250.jpg,
poppy,Papaver rhoeas,867221,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/140/26784140.jpg,
hibiscus,Hibiscus rosa-sinensis,378513,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/177/26790177.jpg,
maple tree,Acer,948922,mrcaott9337ott11461,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/809/27764809.jpg,Maple tree (Acer) is not monophyletic in the synthetic tree. Placed at Mesangiospermae instead.
willow tree,Salix,458856,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/119/32373119.jpg,
birch tree,Betula,267715,ott267709,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/248/32801248.jpg,Birch (Betula) is not monophyletic in the synthetic tree. Placed at Fagales (ott267709) instead.
palm tree,Arecaceae,526437,,http://commons.wikimedia.org/wiki/Special:FilePath/Manila%20dwarf%20coconut%20palm.jpg,
cherry blossom,Prunus serrulata,746756,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/027/25799027.jpg,
bamboo,Bambusa,618937,mrcaott4716ott34798,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/630/27076630.jpg,Bamboo (Bambusoideae) is not monophyletic in the synthetic tree. Placed at Poaceae instead.
fern,Polypodiopsida,166292,,http://commons.wikimedia.org/wiki/Special:FilePath/Dicksonia%20antarctica%20in%20Nunniong%2C%20Australia.jpg,
clover,Trifolium,935477,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/338/31335338.jpg,
moss,Bryophyta,246594,,http://commons.wikimedia.org/wiki/Special:FilePath/Haeckel%20Muscinae.jpg,
ivy,Hedera helix,524074,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/864/31652864.jpg,
venus flytrap,Dionaea muscipula,14971,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/3/264/-26836264.jpg,
mint,Mentha,55626,mrcaott60108ott95353,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/569/29729569.jpg,Mint (Mentha) is not monophyletic in the synthetic tree. Placed at Core Lamiales instead.
wheat,Triticum aestivum,31926,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/379/32796379.jpg,
rice,Oryza sativa,709894,,http://commons.wikimedia.org/wiki/Special:FilePath/Reis-Rispe.jpg,
aloe vera,Aloe vera,62303,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/545/1993545.jpg,
